date,description,level
2015-11-25,oemof v0.0.1,-3.5
2015-12-22,oemof v0.0.2,-3
2016-01-29,oemof v0.0.3,-2.5
2016-03-03,oemof v0.0.4,-2
2016-04-01,oemof v0.0.5,-1.5
2016-04-29,oemof v0.0.6,-1
2016-05-04,oemof v0.0.7,-0.5
2016-11-01,oemof v0.1.0,1
2016-11-02,oemof v0.1.1,-2
2017-03-27,oemof v0.1.2,-1.5
2017-03-28,oemof v0.1.4,-1
2018-01-12,oemof v0.2.0,1
2018-03-19,oemof v0.2.1,-2
2018-07-01,oemof v0.2.2,-1.5
2018-11-21,oemof v0.2.3,-1
2019-06-05,oemof v0.3.0,1
2019-06-05,oemof v0.3.1,-2
2019-11-29,oemof v0.3.2,-1
